Fecha,Algoritmo,NumProcesos,MemoriaTotal
2025-10-27T12:56:01.4875137,FIFO,5,2048

Eventos:
Timestamp,Proceso,Tipo,TiempoEjecucion,MemoriaUsada
2025-10-27T12:55:59.0022183,P1,INICIO,0,109
2025-10-27T12:55:59.720834,P1,FIN,7,109
2025-10-27T12:55:59.7233885,P2,INICIO,7,230
2025-10-27T12:56:00.033191,P2,FIN,10,230
2025-10-27T12:56:00.0346202,P3,INICIO,10,197
2025-10-27T12:56:00.5485547,P3,FIN,15,197
2025-10-27T12:56:00.5495737,P4,INICIO,15,159
2025-10-27T12:56:01.3732926,P4,FIN,23,159
2025-10-27T12:56:01.3742711,P5,INICIO,23,132
2025-10-27T12:56:01.478516,P5,FIN,24,132

Estadisticas por Proceso:
Proceso,TiempoInicio,TiempoFin,TiempoTotal,MemoriaUsada
P1,0,7,7,109
P2,7,10,3,230
P3,10,15,5,197
P4,15,23,8,159
P5,23,24,1,132
